Тип,Название,Цена,Ресторан,Ссылка,Адресс
"Пицца","Пицца Маргарита"," 99","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пицца","Пицца Карбонара"," 138","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пицца","Пицца Гавайская"," 148","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пицца","Фирменная пицца Песто"," 168","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пицца","Пицца Цезарь"," 158","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пицца","Пицца Четыри сыра"," 178","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пицца","Пицца с салями"," 148","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пицца","Пицца Тосканская"," 163","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пицца","Пицца с телятиной"," 173","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пицца","Дуэт пиццы с телятиной и Цезарь"," 173","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пицца","Дуэт: Гавайская и Салями"," 148","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пицца","Пицца с овощами"," 128","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пицца","Пицца с грибами и ветчиной"," 138","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Суп","Бульон с курицей и домашней пастой"," 68","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Суп","Суп Минестроне"," 88","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Суп","Крем-суп грибной"," 68","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Суп","Суп с морепродуктами"," 128","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Суп","Томатний суп з телятиною"," 98","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Салат","Овощной салат с муссом из сыра фета"," 98","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Салат","Теплый салат с овощами-гриль"," 108","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Салат","Цезарь с теплым куринным филе"," 138","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Салат","Салат с языком и рукколой"," 148","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Салат","Салат с лососем"," 168","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Салат","Сытный салат с телятиной"," 148","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Салат","Салат с киноа"," 138","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Паста","Спагетти с соусом Карбонара"," 98","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Паста","Тальятелле с куриным филе и грибами"," 108","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Паста","Лазанья Болоньезе"," 98","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Паста","Тальятелле с грибами и прошутто"," 128","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Паста","Тальятелле с телятиной"," 148","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Паста","Паста Арабьята"," 98","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Паста","Спагетти с креветками"," 168","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Паста","Равиоли с кроликом"," 108","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Паста","Равиоли с рикоттой"," 118","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Паста","Равиоли с говядиной и грибным соусом"," 138","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Напиток","Stella Artois б/а"," 49","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Напиток","BonAqua без газу "," 38","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Напиток","BonAqua с газом "," 38","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Напиток","Боржоми"," 68","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Напиток","Rochetta негаз"," 55","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Напиток","Rochetta газ"," 55","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Напиток","Rochetta негаз"," 119","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Напиток","Rochetta газ"," 119","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Напиток","Coca-Cola "," 35","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Напиток","Sprite"," 35","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Напиток","Burn"," 55","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Напиток","Соки в ассортименте"," 59","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Напиток","Вишневый компот"," 99","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Напиток","Фреш апельсин"," 118","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Напиток","Фреш грейпфрут"," 138","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Напиток","Фреш морква"," 79","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Напиток","Фреш яблуко"," 98","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Напиток","Фреш апельсин-грейпфрут"," 128","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Напиток","Фреш ябл-морк"," 89","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Напиток","Фанта"," 35","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Напиток","Coca-Cola зеро"," 35","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пиво","пиво Стелла 0,5"," 49","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пиво","пиво Хугарден 0,5"," 69","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пиво","пиво Чрениговское 0,5"," 33","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Напиток","Schwepps"," 39","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Суп","Мисо-суп"," 59","Sushi Point","https://eda.ua/restorany/sushi-point","улица Героев Днепра, 37; проспект Леся Курбаса, 4б; улица Клавдиевская, 40Г; проспект Петра Григоренка, 32д"
"Суп","Мисо-суп с лососем"," 69","Sushi Point","https://eda.ua/restorany/sushi-point","улица Героев Днепра, 37; проспект Леся Курбаса, 4б; улица Клавдиевская, 40Г; проспект Петра Григоренка, 32д"
"Суп","Мисо-суп с креветкой"," 69","Sushi Point","https://eda.ua/restorany/sushi-point","улица Героев Днепра, 37; проспект Леся Курбаса, 4б; улица Клавдиевская, 40Г; проспект Петра Григоренка, 32д"
"Салат","Салат «Банзай»"," 69","Sushi Point","https://eda.ua/restorany/sushi-point","улица Героев Днепра, 37; проспект Леся Курбаса, 4б; улица Клавдиевская, 40Г; проспект Петра Григоренка, 32д"
"Салат","Салат «От шефа»"," 49","Sushi Point","https://eda.ua/restorany/sushi-point","улица Героев Днепра, 37; проспект Леся Курбаса, 4б; улица Клавдиевская, 40Г; проспект Петра Григоренка, 32д"
"Салат","Салат с креветками и авокадо"," 59","Sushi Point","https://eda.ua/restorany/sushi-point","улица Героев Днепра, 37; проспект Леся Курбаса, 4б; улица Клавдиевская, 40Г; проспект Петра Григоренка, 32д"
"Салат","Салат «Чука»"," 69","Sushi Point","https://eda.ua/restorany/sushi-point","улица Героев Днепра, 37; проспект Леся Курбаса, 4б; улица Клавдиевская, 40Г; проспект Петра Григоренка, 32д"
"Суши","Ролл «Кейзай чикен»"," 79","Sushi Point","https://eda.ua/restorany/sushi-point","улица Героев Днепра, 37; проспект Леся Курбаса, 4б; улица Клавдиевская, 40Г; проспект Петра Григоренка, 32д"
"Суши","Ролл «Филадельфия Vega»"," 99","Sushi Point","https://eda.ua/restorany/sushi-point","улица Героев Днепра, 37; проспект Леся Курбаса, 4б; улица Клавдиевская, 40Г; проспект Петра Григоренка, 32д"
"Суши","Ролл «Smile»"," 109","Sushi Point","https://eda.ua/restorany/sushi-point","улица Героев Днепра, 37; проспект Леся Курбаса, 4б; улица Клавдиевская, 40Г; проспект Петра Григоренка, 32д"
"Суши","Ролл «Филадельфия с лососем»"," 109","Sushi Point","https://eda.ua/restorany/sushi-point","улица Героев Днепра, 37; проспект Леся Курбаса, 4б; улица Клавдиевская, 40Г; проспект Петра Григоренка, 32д"
"Суши","Ролл «Спайс лосось»"," 129","Sushi Point","https://eda.ua/restorany/sushi-point","улица Героев Днепра, 37; проспект Леся Курбаса, 4б; улица Клавдиевская, 40Г; проспект Петра Григоренка, 32д"
"Суши","Ролл «Сырный»"," 139","Sushi Point","https://eda.ua/restorany/sushi-point","улица Героев Днепра, 37; проспект Леся Курбаса, 4б; улица Клавдиевская, 40Г; проспект Петра Григоренка, 32д"
"Суши","Ролл с лососем и базиликом"," 119","Sushi Point","https://eda.ua/restorany/sushi-point","улица Героев Днепра, 37; проспект Леся Курбаса, 4б; улица Клавдиевская, 40Г; проспект Петра Григоренка, 32д"
"Суши","Ролл «Калифорния»"," 129","Sushi Point","https://eda.ua/restorany/sushi-point","улица Героев Днепра, 37; проспект Леся Курбаса, 4б; улица Клавдиевская, 40Г; проспект Петра Григоренка, 32д"
"Суши","Ролл «Хияши унаги»"," 159","Sushi Point","https://eda.ua/restorany/sushi-point","улица Героев Днепра, 37; проспект Леся Курбаса, 4б; улица Клавдиевская, 40Г; проспект Петра Григоренка, 32д"
"Суши","Ролл «Пивной»"," 139","Sushi Point","https://eda.ua/restorany/sushi-point","улица Героев Днепра, 37; проспект Леся Курбаса, 4б; улица Клавдиевская, 40Г; проспект Петра Григоренка, 32д"
"Суши","Суши «Нигири лосось»"," 29","Sushi Point","https://eda.ua/restorany/sushi-point","улица Героев Днепра, 37; проспект Леся Курбаса, 4б; улица Клавдиевская, 40Г; проспект Петра Григоренка, 32д"
